month,year,individuals
1,2015,6913
2,2015,7900
3,2015,11274
4,2015,31066
5,2015,40559
6,2015,55613
7,2015,79380
8,2015,131786
9,2015,164774
10,2015,222800
11,2015,156025
12,2015,119504
1,2016,73691
2,2016,61402
3,2016,37294
4,2016,13737
5,2016,22633
6,2016,24980
7,2016,26275
8,2016,26329
9,2016,22083
10,2016,32434
11,2016,17126
12,2016,11743
1,2017,7240
2,2017,11902
3,2017,13733
4,2017,15322
5,2017,26411
6,2017,28218
7,2017,16523
8,2017,10610
9,2017,13522
10,2017,14250
11,2017,13730
12,2017,12855
1,2018,8529
2,2018,4395
3,2018,6295
4,2018,11715
5,2018,12635
6,2018,14425
7,2018,15858
8,2018,13425
9,2018,15451
10,2018,18289
11,2018,10081
12,2018,10374
1,2019,7606
2,2019,3853
3,2019,4767
4,2019,5308
5,2019,6284
6,2019,8470
7,2019,7081
